"Credentials","Zugangsdaten"
"all","Alle"
"Username","Benutzername"
"This is the username that was given to you by DHL, mostly your email address.","Dies ist der Benutzername, der Ihnen von DHL mitgeteilt wurde. Meisst ist dies Ihre E-Mail Adresse."
"Password","Passwort"
"This is the password that was given to you by DHL.","Dies ist das Passwort, das Ihnen von DHL mitgeteilt wurde."
"Remote system","Entferntes System"
"Invalid value for field","Ungültiger Wert für Feld"
"Missing value for field","Fehlender Wert für Feld"
"Product is unknown in Allyouneed marketplace","Produkt ist im Allyouneed Marktplatz nicht bekannt"
"Skipped %s duplicate orders that were already imported previously.","%s Bestellungen übersprungen, die bereits zu einem früheren Zeitpunkt importiert wurden."
"Skipped %s duplicate order that was already imported previously.","%s Bestellung übersprungen, die bereits zu einem früheren Zeitpunkt importiert wurde."
"%s order(s) sucessfully imported.","%s Bestellung(en) erfolgreich importiert."
"No new orders found.","Es wurden keine neuen Bestellungen gefunden."
"Skipped %s order(s) because: out of stock. Please process the following order(s) at your Allyouneed dealer area:","%s Bestellung(en) übersprungen, da nicht auf Lager. Bitte bearbeiten Sie die folgende(n) Bestellung(en) in Ihrem Allyouneed Händlerbereich:"
"Skipped %s order(s) because: some or all of the included products were disabled in Magento after the export to Allyouneed . Please process the following order(s) at your Allyouneed dealer area:","%s Bestellung(en) übersprungen, da sie Produkte enthielten, die nachträglich zum Export nach Allyouneed in Magento deaktiviert wurden. Bitte bearbeiten Sie die folgende(n) Bestellung(en) in Ihrem Allyouneed Händlerbereich:"
"%s was ordered with a different price (%s instead of current price %s). Was the price changed after exporting to Allyouneed?","%s wurde zu einem anderen Preis bestellt (%s statt aktuellem Preis %s). Wurde der Preis nachträglich nach dem Export zu Allyouneed geändert?"
"Internal error on Allyouneed server","Interner Fehler auf Allyouneed-Server",
"Product stock is lower than zero.","Der Lagerbestand für dieses Produkt ist im negativen Bereich."
"Unknown error","Es ist ein unbekannter Fehler aufgetreten"
"Error","Fehler"
"Connection to Allyouneed server timed out.","Zeitüberschreitung beim Verbindungsaufbau zu Allyouneed-Server."
"Imported from DHL Allyouneed","Importiert von Allyouneed"
"Allyouneed Order No.","Allyouneed Best.Nr."
"Request could not be built.","Die Anfrage konnte nicht generiert werden."
"Allyouneed server returned HTPP code %s.","Der Allyouneed-Server hat den HTTP-Fehlercode %s zurückgeliefert."
"Invalid response from Allyouneed server.","Ungültige Antwort von Allyouneed-Server erhalten."
"Error on tranfering cancelled items to Allyouneed.","Bei der Stornierung der Bestellpositionen bei Allyouneed ist ein Fehler aufgetreten."
"Allyouneed server returned error code %s.","Der Allyouneed-Server hat den Fehlercode %s zurückgegeben."
"Shipment has not been accepted by Allyouneed.","Die Lieferung wurde von Allyouneed nicht akzeptiert."
"Error on transfering shipment to Allyouneed.","Fehler beim Senden der Lieferinformationen zu Allyouneed."
"Refund has not been accepted by Allyouneed.","Die Gutschrift wurde nicht von Allyouneed akzeptiert."
"Error on transfering refund to Allyouneed.","Fehler beim Senden der Gutschrift an Allyouneed."
"Tracking code has not been accepted by Allyouneed.","Der gesendete Tracking-Code für diese Lieferung wurde von Allyouneed nicht akzeptiert."
"Allyouneed returned error code %s.","Allyouneed lieferte den Fehler-Code %s zurück."
"Error on transfering tracking code to Allyouneed.","Fehler beim Senden des Tracking-Codes am Allyouneed."
"The Allyouneed server did not deliver a valid response. Have a look at the system log for more information.","Der Allyouneed-Server hat keine gültige Antwort für die Bestellungsabfrage geliefert. Für mehr Informationen zu diesem Problem, schauen Sie bitte im System-Log nach."
"You are not authorized to execute the requested functionality on Allyouneed","Sie sind nicht berechtigt diese Funktionalität der Allyouneed-Plattform zu nutzen"
"The provided data was incorrect","Allyouneed konnte die gegebenen Daten nicht akzeptieren"
"The product is not mapped to neither a marketplace nor a shop category","Dieses Produkt ist weder einer Markplatzkategorie noch einer Shopkategorie zugewiesen"
"The referenced product cannot be sold","Das Produkt kann nicht auf Allyouneed verkauft werden"
"The referenced marketplace category could not be found at Allyouneed","Die angegebene Marktplatzkategorie kann auf Allyouneed nicht gefunden werden. Bitte importieren Sie die Marktplatzkategorien erneut, um auf dem aktuellen Stand zu arbeiten"
"The referenced shop category could not be found at Allyouneed","Die angegebene Shop-Kategorie konnte bei Allyouneed nicht gefunden werden"
"Default Shipment Method","Standard Versandmethode"
"Shipment method which is used for order import and POSTPAY.","Versandmethode, die beim Import von Allyouneed-Bestellungen und für POSTPAY verwendet wird."
"Save Mapping","Mapping speichern"
"Missing value mapping for attribute","Fehlende Wertezuweisung für Attribut"
"Default customer email","Standard Kunden-E-Mail-Adresse"
"Customer","Kunde"
"This eMail address is used as the default one for orders that do not include one.","Diese E-Mail-Adresse wird als Standard-Adresse für Bestellungen verwendet, für die keine Kunden-E-Mail-Adresse geliefert wird."
"Invalid modification of element","Unerlaubte Modifikation des Elementes"
"Variant group does not exist on Allyouneed","Die verwendeten Produktattribute sind als Allyouneed-Variantenkonfiguration nicht bekannt."
"Store View","Shop-Ansicht"
"Use HTTPs","Verwende HTTPs"
"Use https:// to connect to DHL Allyouneed","Verwende https:// um die Verbindung zu DHL Allyouneed herzustellen"
"Use Sandbox","Verwende Sandbox"
"Use DHL Allyouneed sandbox","Verwende DHL Allyouneed Sandbox"
"Shipment","Sendung"
"Async Request","Asynchrone Aufrufe"
"Order Import","Bestellimport"
"Cleanup Interval","Intervall für Aufräumfunktionen"
"Use Proxy","Verwende Proxy"



